Symbol	logFC	P.Value
SLC26A6	0.151610798	0.592610639
TRIM15	-0.26737755	0.592593158
DSCAM	-0.231670927	0.592844825
TXNRD1	-0.094642262	0.593122438
BBC3	-0.208031317	0.59331085
OR6X1	-0.46225888	0.593384546
C15orf48	0.282688157	0.593804886
C12orf41	-0.06844708	0.59415747
C11orf31	0.16905995	0.594708106
C20orf72	0.150286172	0.594817216
PFDN2	0.180304438	0.595509167
ITPK1	-0.08978857	0.595499071
CYB5R4	-0.134850748	0.595927132
PLAGL1	-0.069753812	0.59593805
ZNF295	-0.209798118	0.596078861
SPDYA	0.080812998	0.5961224
TMEM86A	-0.310704833	0.596736423
LRRTM4	0.266167988	0.596818105
OR2G6	-0.472149729	0.597368893
TMEM217	-0.26193729	0.597440256
PIAS4	-0.057468542	0.597685134
PSAT1	-0.505668065	0.597777832
SCGN	-0.413489495	0.598096681
OR8A1	-0.35811793	0.598242545
LARP4B	0.072997188	0.598456969
DNASE2B	0.305304057	0.598516677
BBS7	-0.345064918	0.598970482
TACR1	-0.130897188	0.599088676
TBX15	0.333052736	0.599534191
RPL8	-0.11521745	0.599543377
EIF4E	0.106207287	0.599995457
NFKBIB	0.138650136	0.599982127
C2orf39	0.13817662	0.600145504
HSFYP1	-0.182950206	0.600123045
ANKRD36	-0.07708024	0.600556631
RPL6	-0.087445898	0.60062212
BPGM	-0.208840644	0.601373381
PRG4	-0.47876131	0.601372131
SRP14	0.057510646	0.601852884
PXMP4	0.212245313	0.601852997
LRRC20	-0.420467847	0.602312422
TUBB2A	0.184383639	0.602339511
MRPL11	-0.3290338	0.602448141
SSTR5	0.411016282	0.602501864
BCAR1	-0.191421582	0.602785645
ELOVL4	-0.337355014	0.602773468
ZNF345	-0.116186984	0.603289257
PTPRJ	0.165572846	0.603348157
FAM104A	-0.110635194	0.603523433
BMP1	-0.114095664	0.603700754
FLJ21511	0.109560736	0.60381328
WWOX	-0.055680722	0.603808785
DAB2IP	-0.221269671	0.603977495
PTGER3	-0.370045823	0.604240187
DEPDC4	0.246669839	0.60464756
LOC648740	0.307591803	0.60470459
PVALB	0.473881165	0.605138609
EXOC3L	0.121335967	0.605716577
P2RY14	0.11298431	0.606143888
LRSAM1	-0.126661716	0.606206191
ADH7	0.233724245	0.60671885
CALN1	0.271711023	0.606752153
RPS6	0.047557066	0.607159506
CEPT1	0.18450919	0.607272872
FAM26E	-0.166549079	0.607616395
THOC3	-0.119579778	0.607676725
DHRS4L1	-0.139432133	0.608096356
IFT122	-0.152897612	0.608204035
AADACL1	0.322990546	0.608684418
CUX1	-0.266077989	0.608902657
DKFZp761E198	-0.119905836	0.609276626
C19orf56	0.10215809	0.609331713
MRPL3	-0.150619271	0.609469946
IDO1	-0.41411849	0.609460664
PTCD1	-0.117097904	0.609658998
RASSF6	0.130911742	0.609711474
PLAA	-0.097690388	0.610383033
CYHR1	0.100468516	0.610512998
MID1	-0.139802415	0.610713684
RTKN	0.279521366	0.610741283
RPRD1B	0.143815928	0.611277415
CHIC1	-0.25718348	0.611314106
ZBTB37	-0.180714027	0.611420133
ABCA1	-0.226626983	0.611568692
FAM13C1	-0.367757625	0.612139032
SOX13	-0.156571671	0.612168165
SYNC	-0.378817495	0.612287841
NSUN7	-0.2774673	0.612394884
GZF1	0.189632304	0.612829993
SLC28A1	-0.196387701	0.613089995
CARTPT	-0.378663521	0.613286747
OR8G2	-0.213411422	0.613307215
DNAL1	0.389540186	0.61351139
MCM9	0.087747436	0.613507501
R3HDML	0.231726002	0.614162686
C12orf27	-0.278572421	0.6141747
IRX1	-0.149901519	0.614637493
C20orf151	0.125859201	0.614730817
HIST1H2AC	-0.081004256	0.615484757
SEH1L	-0.179862998	0.615499353
ZACN	-0.338680202	0.61588757
NALCN	0.147242038	0.615978847
PIRT	0.293874433	0.616092572
C14orf148	0.388930582	0.61616156
FOXK1	0.172406718	0.616499725
C2orf29	0.075284622	0.616526368
PRDM12	-0.420811506	0.616953551
PYY	0.401842912	0.616950008
PATZ1	-0.19303702	0.617324948
CANX	0.153665688	0.617368192
C7	-0.395989611	0.617666037
SYPL2	-0.176348942	0.617968505
C6orf203	0.180550941	0.618211771
CCR10	-0.28199564	0.618263907
FAM19A3	-0.424729521	0.618609328
INTS1	-0.07323706	0.61872119
DRD2	-0.083337845	0.618942887
THAP11	-0.09534154	0.618933705
FAM21C	-0.217327054	0.619193436
RASSF5	0.058554458	0.619198009
KYNU	0.230402888	0.619363092
ENPP7	-0.333318169	0.619514567
P2RY14	0.20948219	0.61977594
GJB1	-0.15467595	0.619836144
LOC257358	-0.399488685	0.620236026
LOC149620	-0.420847944	0.620254787
GPR87	0.174250013	0.62046753
FAM13C1	-0.278516153	0.62056354
OR51V1	-0.43522583	0.620977401
FBLN7	-0.238436533	0.621089483
RFX6	0.138700105	0.621417899
CPEB2	0.157240776	0.621410606
COX7A2	-0.050654794	0.622238382
TNFRSF10B	0.318226276	0.622295819
GATA4	-0.197846998	0.622530902
KCNJ15	0.142056783	0.622952051
CHM	-0.260403717	0.623028482
ADAMTSL4	-0.19806503	0.623119693
ZNF572	-0.111702736	0.623342039
ZNF28	-0.242942836	0.623342826
RASGEF1A	-0.198116677	0.623469292
LOC389827	0.13158345	0.623433884
HDAC2	-0.259279505	0.623849626
CCDC108	0.261710075	0.623886242
CLUAP1	0.24410277	0.62425451
RBP5	-0.127158244	0.624301048
PAICS	-0.067890089	0.624654684
CD52	0.261653217	0.624864441
IMMT	-0.079943928	0.625103363
EXT2	0.247356769	0.625161688
OTOR	0.164233736	0.625515933
MFF	-0.090529306	0.625692789
GRIPAP1	0.196117011	0.625872243
SLC25A31	-0.255824233	0.625982414
CAPZA1	-0.318381175	0.626174562
SIX2	0.278424193	0.626340131
C17orf58	0.286359455	0.626742465
ECSCR	0.281721924	0.626738148
CDH5	0.329871115	0.62721782
MAPKAPK2	-0.129794684	0.627301031
OR51I2	-0.422087446	0.627999746
PCK2	-0.098068388	0.628106498
CREBL1	-0.198470359	0.628322617
PCDHA3	-0.370411246	0.628307642
TUBA1C	0.114717142	0.628813792
AGC1	-0.075455935	0.62882093
TEF	0.171701811	0.62942542
ELP3	0.106994312	0.629501853
VPS37C	0.153976476	0.629784379
PCBP2	0.17042361	0.629792082
FAM114A1	0.274438977	0.630080323
F8A2	-0.125503248	0.630253478
WNT5B	-0.148064982	0.630435148
ACTN2	0.315613645	0.630711231
MKRN3	-0.328204964	0.630810438
CERKL	0.181414575	0.630858097
PHOX2B	0.356181993	0.63127418
MEOX1	-0.143040759	0.63130637
TSPAN10	0.248773903	0.631718836
CRB2	-0.121490264	0.631752485
KRT86	-0.304067966	0.631956823
BBS7	0.182529676	0.632039524
ATMIN	-0.191073044	0.632458191
UBA52	-0.041908038	0.632433554
GTDC1	0.175505711	0.63269232
EXOC3	0.105034798	0.632645207
SNORD3C	-0.099276776	0.632866473
GGNBP2	0.171814833	0.633095777
EFR3B	-0.140933276	0.633429563
NLRP3	-0.199330945	0.633503259
TTC5	0.09928475	0.633857885
WNT7B	-0.35109085	0.633862068
SERTAD4	-0.246540923	0.634132553
FAHD2B	-0.202838708	0.634197745
ODF2	-0.100568598	0.634624522
PARP4	-0.057434414	0.634574317
FAM86A	-0.114070376	0.63475069
C15orf48	0.181859898	0.634874232
SCARNA3	-0.091041798	0.634986973
LYST	-0.237382745	0.635064083
C1orf102	-0.281473222	0.635379878
PRDM9	0.129473513	0.635396498
MAP3K6	0.145418902	0.635660562
LOC554226	-0.083401722	0.635787983
EFNB2	0.326863208	0.635967825
ZSWIM1	-0.12829348	0.635954073
LGI1	0.20703481	0.63623486
MAGI1	-0.163254173	0.636296259
THEM2	-0.072324006	0.636391053
FLJ20850	0.13687288	0.636449277
TCHP	0.250171014	0.636937752
DBX1	0.139648252	0.637080719
CUL2	-0.088668014	0.637236138
FAM90A7	0.220489532	0.637261155
CDH11	0.332583656	0.637511316
TTTY22	0.093059015	0.637669627
C7orf16	-0.216748173	0.637868689
MSH2	-0.166294746	0.637923286
APBA1	0.241730106	0.638546858
GPRIN1	0.293233542	0.638621852
CYP4F11	-0.340722379	0.638895427
SCARA3	-0.296128668	0.639082853
NR2E1	-0.251252055	0.639300199
UPF1	-0.097352866	0.639487257
CD82	-0.098159828	0.639918023
OR1F1	-0.194203955	0.640056163
MUC2	-0.189322748	0.640330433
C16orf55	0.153601844	0.640402214
PPP1R2	-0.060464982	0.640615474
YIPF2	0.15728148	0.640816197
MAS1L	-0.172462029	0.641189997
KRT34	-0.17031687	0.641245887
IL22RA2	0.276000905	0.641491497
C4BPA	-0.373316533	0.641652813
WDR53	0.115298928	0.64215449
TMEM139	-0.432077562	0.642302261
FAM110C	-0.225610229	0.642639088
KLK15	-0.275474838	0.64283608
CYBRD1	0.177733506	0.643248363
CORO2A	0.19269939	0.643324942
ARX	-0.166353272	0.643681235
MEFV	-0.149124562	0.64368529
MYBPC1	-0.149979139	0.643998609
RNF14	0.14704772	0.644084947
GNAS	0.176176609	0.644301071
CDGAP	-0.18164535	0.64428714
FBXO3	-0.110957435	0.644848661
CTU2	0.283846401	0.644863586
HHIPL2	-0.216331199	0.644985438
ASCL4	-0.106331219	0.645147615
C6orf223	0.350132129	0.645461345
LSM14B	-0.186647946	0.645566168
COL25A1	0.31437324	0.64571913
MSX1	0.158902926	0.645803623
B3GAT3	0.044867212	0.646255184
CEACAM4	0.254250016	0.6463591
PRPF6	-0.094082786	0.646778489
LOC644145	0.161655231	0.646803814
CIDEB	0.230252152	0.647235409
ALS2CR4	-0.16448468	0.647255372
CHRNA9	0.143212395	0.647469019
NR1I2	-0.132287294	0.647566806
PREPL	0.208504067	0.647932975
SNORA74A	-0.240309092	0.648158309
C20orf201	0.19525199	0.648428026
F5	-0.18927485	0.648563787
RALGPS2	0.111272195	0.648771338
KIAA0232	0.210789791	0.648894983
PCDH1	-0.094131037	0.649134258
COPG	-0.080660088	0.649348581
AZGP1	0.155020663	0.649565952
FAM53B	-0.149282353	0.649580763
LOC389118	-0.18712084	0.650142905
MKRN3	0.242174624	0.650186371
PILRB	0.086897572	0.650372195
FAM125A	-0.106405378	0.650365254
TRPM4	0.200578698	0.65055925
TMEM171	-0.323947645	0.650892534
STAT1	-0.196704652	0.651462151
TMEM1	0.098049848	0.651493886
HSD3B2	0.244858725	0.651777014
C17orf62	-0.06479185	0.651745677
HIST1H2BM	-0.089580752	0.652203317
ADAMTS12	0.195055229	0.65241352
PAEP	0.240574977	0.652328889
C7orf31	0.192709244	0.652710626
NIN	0.125204366	0.65310645
C21orf29	0.204180146	0.653156243
C4orf37	0.269227836	0.653245831
SERHL	0.308662316	0.653318531
MASTL	0.144174241	0.653763788
CCDC7	-0.130628534	0.653901828
CLDN7	-0.331051252	0.654179047
ERP29	0.047155954	0.654205112
FLJ40125	0.203942039	0.654629048
COL8A2	-0.202475263	0.65467793
KIAA1045	-0.237197826	0.654869929
SLC8A3	0.27372686	0.654936144
GSS	-0.080339526	0.655153019
LAT	-0.216617425	0.655177018
PDP2	-0.380477956	0.655334107
SUMO1	-0.119373126	0.655528517
ATXN1	0.11855256	0.655998922
CSRNP3	0.32240034	0.656226016
DYDC1	-0.261720866	0.656478999
GBA3	-0.376456551	0.656534058
BCAS4	0.094285326	0.656956282
GLP1R	0.158732336	0.657000364
C19orf6	-0.062594874	0.65748191
ATP2A1	-0.286051282	0.657531911
PAXIP1	-0.144878376	0.657843479
ADRA1A	-0.222595262	0.657955196
SEMG1	0.135275624	0.658262975
C14orf149	-0.138390494	0.658352881
CCR8	-0.168877663	0.659292477
FARP1	0.228100604	0.659375972
ENTPD2	0.120969808	0.659880436
MYH9	-0.057017472	0.659885908
RAB11FIP2	0.175511548	0.660288712
C20orf166	-0.108151152	0.660317196
FAM163B	-0.114633322	0.661008844
XRN1	-0.149499401	0.661248444
NR1H4	-0.205728415	0.661857826
AP1S2	-0.061233868	0.661856079
DAZAP1	-0.152338938	0.662201277
CX3CR1	0.139056122	0.662361572
SHISA3	0.175188509	0.662696831
C5orf15	0.073243372	0.662839789
C20orf186	-0.36017271	0.66313375
C8orf55	-0.117891678	0.663507463
CCDC149	0.179756811	0.663728129
PLLP	0.159057126	0.663776938
TNRC6B	0.149055943	0.664167798
OR4C12	-0.145649822	0.664228509
C9orf150	-0.109430634	0.664919385
QSOX1	-0.112980772	0.665117608
PCBD2	-0.157530478	0.665541615
RBM24	0.122763221	0.665539859
FGD5	0.264711988	0.665799361
CHST8	0.121919356	0.665864144
C10orf129	0.126873628	0.666296064
ITPA	-0.052438278	0.66629804
CSN1S1	0.288950576	0.666822376
SOHLH1	-0.394632182	0.666818418
RNF139	-0.126447412	0.667012122
FOXP4	-0.173286308	0.667094002
APTX	-0.087893316	0.667225701
GRM5	-0.137548601	0.667366606
GALR3	-0.263887926	0.667610339
SIX6	0.318953359	0.667692212
YBX1	0.04651136	0.667900564
TLL1	0.191314831	0.668032205
ZSCAN1	-0.17077204	0.668651646
FLJ45422	-0.298226412	0.66886277
TBC1D21	0.119637526	0.668957537
MNT	-0.043142134	0.668910101
SUGT1	0.12968902	0.669509239
TNFAIP6	-0.137303094	0.669590823
IKBIP	-0.082843706	0.67029551
GPR34	0.231756245	0.670387391
RN5S9	-0.041765306	0.670693827
IFITM2	0.05404598	0.670761683
RPL19	0.040154282	0.671222572
IGF2BP1	-0.153269499	0.671302149
C4orf31	0.226635163	0.671829069
OR1S1	-0.233381264	0.671875499
ECSIT	0.100122164	0.672203803
DYNC1LI1	-0.155364358	0.67227683
CCNDBP1	0.223543807	0.672552892
C11orf24	-0.151534634	0.672595533
C6orf122	-0.186977816	0.673257548
FH	0.069097876	0.673433414
OR7E24	-0.298482971	0.673593143
RPL14	-0.072049102	0.673668952
LOC100132707	0.064789248	0.674179178
P4HA3	0.1186206	0.674290736
SH3BP5L	0.224893067	0.674935234
UPP1	0.209762712	0.674912471
MUL1	0.09779114	0.674916816
AIF1L	0.180296156	0.674919601
CCDC67	-0.108093343	0.675453111
MRPS10	0.077683026	0.675277037
CCT8	-0.046817392	0.675510381
PRRT1	-0.145296523	0.675405826
C12orf60	-0.225355239	0.67541746
RNPS1	-0.058076258	0.675588211
HS3ST1	0.225275126	0.675914802
NAB2	0.141301509	0.675996585
RASGRF1	0.203632494	0.676143773
EML5	-0.219640178	0.676230137
BCL7A	-0.129189256	0.676802419
KIF21A	0.232465062	0.676866946
ATOH1	-0.325098476	0.677212975
MAPK7	0.205967119	0.67721473
PART1	0.246323221	0.677347642
DCBLD2	0.111182182	0.677464642
ZADH2	-0.086836978	0.677521871
PLEKHG5	0.124717095	0.677541902
PARG	-0.1673838	0.677712961
ATF7	0.110456668	0.677951485
DNMT3A	-0.270877378	0.678233194
NHP2L1	0.05343768	0.678237682
MYCT1	0.219562292	0.678553381
ARFIP1	-0.130533084	0.678583302
GRIP1	-0.373135477	0.678822921
SLC25A17	-0.301880618	0.678958123
BAALC	-0.07128075	0.679281881
ARNT	0.153413601	0.679270644
PCDH11X	-0.351573282	0.679610261
CST8	0.231524356	0.67996218
LILRB5	0.167957801	0.680216027
C4orf36	0.320212818	0.680215292
TM7SF3	-0.08762169	0.680386053
OAS1	-0.247920949	0.680400471
CHST7	0.327386459	0.680903833
GCNT4	0.117810315	0.681003405
PFTK2	0.212208228	0.681205063
MGST1	0.080698534	0.681362844
SSX4	0.153520183	0.681497156
GRLF1	-0.133555001	0.681567016
ATP5I	-0.048955488	0.682005207
DOPEY2	-0.127881344	0.682010111
PDZD11	0.151160174	0.682348285
C3orf23	-0.168268205	0.682395803
KIAA0319L	0.177134425	0.68274971
UCP1	-0.299179026	0.682820846
LOC348840	-0.13421057	0.683154941
COL13A1	0.176039814	0.683111406
EPM2A	0.105335875	0.683400598
MND1	-0.200399884	0.683352557
REG3A	0.095067138	0.684234216
ADAT3	-0.234282636	0.684240831
BFSP1	-0.212878469	0.684767721
FOXD4L5	-0.234668896	0.684751318
FTHL12	-0.08254703	0.685256659
TBX18	-0.158371987	0.685276201
AP2A1	-0.065090635	0.685704249
PALMD	-0.125221566	0.685642437
FXYD5	0.17542992	0.686090761
MPP7	-0.32453326	0.686187613
NFATC1	0.255213846	0.686719637
STXBP1	0.276503976	0.686754668
C20orf106	-0.173804093	0.687186646
PCMTD2	0.078605998	0.687282503
SLC30A2	0.178048292	0.687432749
TBC1D19	0.108451539	0.687577638
HNF1A	-0.148808688	0.688378195
SNX11	0.29094889	0.68852925
MAGEA12	-0.171773653	0.688631533
MCEE	0.098588324	0.688725712
TBL1Y	-0.103936663	0.689296847
DSPP	-0.248040479	0.689442013
KIF12	-0.061528326	0.689921069
CCDC124	-0.113166648	0.690178683
FZD1	-0.338615695	0.690942536
VMD2L3	0.114049051	0.690916702
MAPK14	-0.093326402	0.691289936
MAGEA3	-0.062423521	0.69144447
TMEM231	-0.149391124	0.691600497
NR1I3	0.254972958	0.691740924
MMP1	0.149276125	0.692035841
CACNA1A	-0.298533683	0.692213598
SLC39A6	-0.07715402	0.692953576
FGR	-0.222809629	0.693032091
PRKAR2A	0.115054372	0.693426217
ANKRD43	0.0978995	0.693522676
STAT5B	-0.059738484	0.693860681
AADACL2	-0.269031839	0.693923111
ME3	-0.058997446	0.694230601
KLK1	-0.144912366	0.69429826
TTTY7	-0.289140811	0.694842375
IL2RB	0.180681938	0.694966362
ALDH3A2	0.12571558	0.695154283
RASAL2	0.193803505	0.695223812
CD164L2	-0.318695445	0.695610282
MAGEC3	0.107022324	0.695675425
C22orf43	0.246266451	0.695902595
ZNF41	0.147529906	0.695891411
COL12A1	0.140209752	0.696247383
RARA	0.049523848	0.69627834
CDK6	-0.120060736	0.696462001
ZNF544	0.301456391	0.696494654
SGK3	0.045419254	0.696802268
SMEK3P	-0.190690577	0.697032843
TRIM55	0.269251629	0.697341391
ZNF774	-0.170260242	0.697356009
CA7	-0.231615067	0.69796232
DMRTB1	-0.225220929	0.698007969
ABCG1	0.13343785	0.698344803
PTH2	-0.108572771	0.698675793
ZNF385B	0.107999361	0.699007007
MAPK8IP2	0.102798884	0.699270757
HOXC11	0.118213817	0.699603333
GPR110	-0.155714103	0.699574771
PPRC1	0.08170605	0.699771423
SON	-0.057074562	0.699761922
CHRNB2	-0.24671601	0.700319651
SEZ6L2	-0.144277014	0.70036323
SEPN1	-0.099735076	0.700701631
RPL3L	-0.173899074	0.700745821
CMKLR1	-0.316871721	0.701147729
TMEM1	-0.082528214	0.701224813
PRPH2	-0.152598351	0.701387655
OR4S1	0.100303965	0.701500589
KTELC1	0.072468356	0.701718705
TMEM101	-0.067106448	0.701998205
NCKAP1L	-0.065267204	0.702312886
NUDT22	-0.067949918	0.702447506
PCDHGA11	0.077556871	0.703007749
IFIT3	0.128730252	0.703025827
SPANXC	-0.069297251	0.703309935
LIX1L	-0.144824445	0.703349056
EMILIN1	-0.188267584	0.703575905
FBXO17	0.130825946	0.703668221
FLJ36701	0.241023912	0.703887298
VSTM2	0.22244142	0.703912938
CMTM3	-0.104362851	0.704090535
TMEM63C	-0.234212807	0.704391542
LOC389199	0.152238282	0.704639776
RGR	0.131700736	0.70495202
MLLT10	-0.334901292	0.705156832
HTN1	0.059324707	0.705235879
USP30	-0.078888186	0.705609577
EIF2B1	0.04535732	0.705559885
TPD52	0.135663297	0.705974998
EFHA2	0.079815434	0.705958065
ARSA	-0.138094812	0.706468696
AIFM1	0.117428245	0.706516288
WDR63	0.066468207	0.707027442
GGA1	0.116796453	0.70705884
AMZ2	0.116813681	0.707131619
OR10H3	-0.255261168	0.707235389
CYP3A4	-0.161318134	0.707660767
NIN	0.090455648	0.707795318
GYPC	0.066185088	0.708248368
NPL	-0.161687595	0.70834859
RTN2	0.177204373	0.708690981
NLRP14	-0.27045382	0.708782908
OR2F1	-0.375219132	0.709603362
PTH	0.098055045	0.709700008
CLUL1	-0.161219216	0.710160248
FGFBP3	0.214969627	0.709931975
C19orf15	0.171904486	0.710089348
RPL13L	-0.085969685	0.710155453
EIF3B	-0.054333102	0.710405249
ASTN2	-0.268824882	0.71038446
SDSL	-0.1109296	0.710609763
TSGA10IP	-0.24092478	0.710716131
STEAP1	0.054045389	0.711054885
RTBDN	0.278669959	0.711041648
DOCK9	0.216856418	0.711311631
ABCA4	0.246493088	0.711317704
GTPBP2	-0.180070154	0.711613614
KIR3DL1	-0.173785736	0.711591768
ACVR1B	0.173344948	0.711871275
KCNC4	0.175279363	0.711890573
BBS1	0.098673366	0.712353341
MTPAP	-0.148020065	0.712645578
CARM1	-0.040779098	0.713359956
ZNF532	-0.21267863	0.713557528
THRA	0.136835997	0.71408868
PRMT5	0.10837371	0.714039369
GATM	-0.205834112	0.714484972
KDELR2	-0.065022348	0.71462234
THEG	0.129150184	0.71496866
CLDN15	-0.051103814	0.714997963
SIAH1	-0.135922334	0.715422834
LOC729692	-0.19671942	0.715501424
NOL9	0.192888616	0.716086688
ADAM19	0.133084894	0.716229399
ITGA3	-0.261024692	0.716666596
PCYOX1	0.091312057	0.716659481
FAP	0.170815148	0.716940666
GP6	-0.141662313	0.717134728
ACSL5	0.069934166	0.717981873
LOXL1	0.119229862	0.717967563
FLJ35776	-0.115117282	0.718437896
EIF6	0.041600568	0.718732554
ZAK	-0.157410106	0.719329733
Septin 12	-0.105448468	0.719311044
INHBA	-0.162464709	0.719480736
TP53	-0.10556047	0.719514521
C1orf112	-0.164678923	0.720272391
DEF8	-0.058379104	0.720503733
CRH	-0.219981323	0.720861263
TTC13	-0.132506419	0.720867221
JTB	0.035800404	0.720994822
RBM15B	-0.063148884	0.721103068
S100A11	0.115826602	0.721278473
HAS2	-0.114330363	0.721475577
LOC100130557	-0.233242625	0.721744506
CATSPERB	0.192171626	0.721876533
GPR111	0.127773802	0.722186711
UCKL1	0.062198046	0.722201966
KDSR	0.116527235	0.722270531
NAIF1	-0.088649808	0.722250948
PRM3	0.09057271	0.72255068
WDR89	-0.201591167	0.722643823
CLDN8	0.186136714	0.722852976
TNFRSF6B	-0.233623746	0.722743901
PTPRCAP	-0.045803678	0.723053386
CYP27A1	-0.166109728	0.723183126
PPP1R8	-0.325800546	0.723148776
MPP3	0.166962745	0.723265904
CRELD1	-0.12644938	0.723772831
BAGE4	0.073591736	0.723773479
SERPINB9	-0.055943734	0.723983719
ACOT9	-0.090937186	0.724064352
RPL36AL	-0.039592764	0.724342248
OR2M1P	-0.168752715	0.724331427
CCDC147	-0.163008411	0.724646143
SLC4A9	0.071138735	0.724753503
PLEKHG6	-0.211184232	0.725088242
C19orf26	-0.13534074	0.725148977
PRRX1	-0.140773582	0.7254566
SAMD3	0.309043808	0.725466539
HIPK1	0.148393498	0.725775388
FAM133A	0.269863427	0.725833579
NXPH1	0.142871338	0.726164073
NUDT16L1	0.050590982	0.726363572
IL12RB1	0.140396517	0.726997811
C5orf42	0.211700549	0.726953113
ZNF692	0.05159707	0.727790854
SPATA9	0.086844308	0.727931907
VN1R2	0.152502841	0.728450771
EIF2AK4	0.043513278	0.728457272
UGT2B17	0.076965128	0.728782572
ASL	-0.205719078	0.728841879
GHITM	-0.044231272	0.729093935
TNFRSF25	-0.130094908	0.729170323
SMOX	-0.079458162	0.729297407
SLC5A12	0.107200333	0.729281764
OR5D16	-0.201176953	0.729683886
MYO5B	0.172311001	0.729723547
C1QTNF7	0.168675526	0.730095206
SUV39H2	-0.11535512	0.730202668
FLJ35880	0.137650155	0.730403178
FANCD2	-0.214205259	0.730463188
WFDC8	-0.106149141	0.731083811
COQ9	-0.126681089	0.731235625
NBL1	0.170344526	0.731433217
CLUAP1	0.036733488	0.731478302
LCE2C	0.05995611	0.731752506
RNF38	-0.06542946	0.731711959
PRMT2	0.043437832	0.7321448
CLPP	0.049909074	0.732282945
AMY1A	-0.05550662	0.732403639
CYP4A22	0.228290983	0.732552341
OTUB2	0.193725084	0.733172868
ZNF182	-0.142935366	0.733534206
FAM119B	0.215559683	0.733858677
GUCA1B	0.128276889	0.733854561
CACYBP	0.18528004	0.734089871
HRB	0.051017842	0.734058328
SNORD113-7	0.136103092	0.734238641
C18orf20	0.161958426	0.73427596
OR51D1	0.206792448	0.734854419
KRAS	0.089546831	0.734996031
MOBKL3	0.063186126	0.735094252
SPATA7	-0.111940686	0.735325968
MAP3K4	-0.038766606	0.735577616
C19orf12	-0.230529692	0.735618934
MRPL18	-0.08668118	0.736288549
CSTF1	-0.128687372	0.736294295
RHOJ	0.129043022	0.736714329
RNF6	0.11849412	0.736757938
POMT1	-0.070693652	0.737297496
ADAMTSL1	-0.150693792	0.737490356
NRN1	-0.112913746	0.737733598
SCAMP5	-0.258920196	0.73789056
TGDS	0.092086634	0.738218956
SF3B14	0.067815032	0.738293936
SLC35A5	0.124991767	0.738609857
LOC400804	-0.09210688	0.738640491
ASAP3	0.216790395	0.73900663
CHD4	0.038204506	0.739061467
MGC70863	-0.074884692	0.739934778
SH2D2A	0.099028759	0.739976328
IMP4	-0.042612228	0.740459155
C15orf56	0.151938634	0.740465562
GLRX	0.044874472	0.740593822
C1orf141	0.067027135	0.740774864
RUFY1	-0.260360027	0.741062894
SYNPO2	-0.113101063	0.741275336
MS4A1	-0.099572681	0.742232067
DDX49	0.130971086	0.742578095
OR9Q1	-0.234833564	0.742939715
GUCA1A	0.076431192	0.743003372
ZNF570	0.135050325	0.743557308
PCTK1	-0.149156387	0.74378985
ABL1	-0.137302619	0.744377475
AQP2	-0.209995362	0.744570471
PTGER3	0.112606856	0.744914946
CYP24A1	0.231924915	0.744934606
MAPK8IP2	0.138051568	0.744995517
GBP6	0.16850567	0.745055658
GLA	-0.05641521	0.745616024
ARHGAP8	0.050652234	0.745626716
C16orf56	0.091224558	0.746122009
KCNJ4	0.120994736	0.74618953
OSMR	-0.176152022	0.746882887
CDIPT	0.052688616	0.747024614
COPG2	0.153223286	0.74718234
VNN2	0.241765963	0.747242568
OR1E1	0.196168282	0.747604365
GALK1	0.060055854	0.747632838
HERV-FRD	-0.293115159	0.748072682
C13orf39	0.251550727	0.748276195
LOH12CR2	-0.211580491	0.748511855
OR2L13	0.250580465	0.74857314
SIRT3	-0.132528157	0.748930366
KCNS3	0.24915699	0.748950905
FBXW10	-0.131835239	0.749474524
TEX11	-0.037627516	0.749583915
CD1E	-0.163064537	0.749782769
POTED	0.042546026	0.74978666
ANGPTL6	-0.110773938	0.750214952
CADPS2	-0.263789352	0.750298162
FAM154B	0.147350868	0.750688289
POLR3H	-0.148072273	0.750649089
GZMB	0.252484675	0.751200916
CCDC76	0.157085331	0.751456021
RPSA	-0.049051756	0.751775352
MARS2	0.068823901	0.751833041
Septin 3	-0.183421183	0.75223896
OR10J3	-0.185978854	0.752307611
GSC	-0.102581511	0.752734559
MMP23B	-0.074211495	0.752748768
PLA2R1	-0.254994849	0.753519178
HOXD11	-0.098865272	0.753519796
EIF4H	-0.032935944	0.753798671
IL5	0.173825586	0.753906051
NOVA2	-0.173810803	0.754441751
FERMT1	-0.168457428	0.754520432
PAIP2	0.040562268	0.754725545
CHKA	-0.040548022	0.755070779
PCDHGA4	-0.064958083	0.755380371
MRPS33	-0.043624598	0.755387231
TIMM50	0.068348772	0.755796395
C1orf227	0.151297511	0.755859073
CALR	-0.07275483	0.756042606
CHTF8	0.095696603	0.756096713
ARAP1	0.078230634	0.756414622
SCN2B	-0.139541575	0.756649997
MS4A13	-0.149553066	0.756616809
HUS1	-0.098090008	0.756707551
UBXN11	0.077524109	0.757183053
MMP25	-0.066090391	0.757200795
C3orf70	-0.188187781	0.75762592
SLC7A6OS	0.095869618	0.7577491
FGFR1	-0.220565322	0.758218044
CHD7	-0.13364774	0.75834572
HMGCS2	-0.214463729	0.758492152
USP40	0.096522798	0.758593431
RHOJ	0.121604592	0.759031122
DNAJC28	-0.158182546	0.759109326
FAM55B	-0.091267915	0.759688059
